EA,SI,cA
339.32,1.4289,10
449.84,1.5146,10
596.36,1.5928,10
790.6,1.663,10
1048.1,1.7249,10
1389.5,1.7785,10
1842.1,1.8242,10
2442.1,1.8625,10
3237.5,1.894,10
4291.9,1.9195,10
5689.9,1.9397,10
7543.1,1.9556,10
10000,1.9678,10
