"","EB","n","type","N","Crowdsourcing_completion_times.queue_queueingTime.mean","sd","se","ci"
"4","1",8,"Empiric",10,139.786689333333,20.3279870338028,6.42827392731869,14.5417659091129
"5","1",8,"Gamma",10,138.610997333333,25.4543412762679,8.04936947722438,18.2089388189124
"6","1",8,"Negexp",10,100.563969,7.41927600202264,2.34618107558196,5.30743032534932
"7","1",10,"Empiric",10,46.7290145,4.67123790556769,1.47717512741084,3.34160229517979
"8","1",10,"Gamma",10,46.4637148333333,3.14258461240701,0.99377251150036,2.2480696050825
"9","1",10,"Negexp",10,33.3794778333333,2.4364521380194,0.770473816612822,1.74293286299917
"10","1",12,"Empiric",10,31.357082,1.69061338593109,0.534618894231151,1.20939196095225
"11","1",12,"Gamma",10,27.4022351666667,1.15504249287272,0.365256507175661,0.826267623966075
"12","1",12,"Negexp",10,20.0273278333333,0.926656027345015,0.293034365393352,0.662889788620597
"13","1",14,"Empiric",10,21.9359871666667,1.23361114241213,0.390102095698468,0.88247225000688
"14","1",14,"Gamma",10,19.8529181666667,0.759537238962007,0.240186764283553,0.543340209233363
"15","1",14,"Negexp",10,13.6859511666667,0.328753943478249,0.103961125115353,0.235176403832255
"16","1",16,"Empiric",10,16.1952421666667,0.793883285996499,0.251047938008779,0.56790989117228
"17","1",16,"Gamma",10,15.09668,0.840746660193143,0.265867438138995,0.601433929540937
"18","1",16,"Negexp",10,10.7016746666667,0.353589293076405,0.111814752237024,0.252942542679491
"19","1",18,"Empiric",10,13.4846418333333,0.486889074754294,0.153967844407556,0.348299462067151
"20","1",18,"Gamma",10,11.6848613333333,0.620049295106127,0.196076803411726,0.443556545296411
"21","1",18,"Negexp",10,8.61272,0.290930459873315,0.0920002893919898,0.208119113627597
"22","1",20,"Empiric",10,11.1284051666667,0.694164911265599,0.219514219136797,0.49657566315636
"23","1",20,"Gamma",10,9.90033766666667,0.337704696835769,0.106791601853769,0.241579387060197
"24","1",20,"Negexp",10,7.2305135,0.190056728981486,0.0601012148222829,0.135958393603101
"25","1",22,"Empiric",10,9.55814233333333,0.633407032028349,0.200300890717681,0.453112094651862
"26","1",22,"Gamma",10,8.32595616666667,0.490247430342514,0.155029849692709,0.35070188492989
"27","1",22,"Negexp",10,5.9663045,0.224765858942872,0.0710772054503602,0.160787809421212
"28","1",24,"Empiric",10,8.06615266666667,0.290681291700323,0.0919214954972818,0.207940869454299
"29","1",24,"Gamma",10,7.15025033333333,0.351292610031637,0.111088477288529,0.251299594602591
"30","1",24,"Negexp",10,5.29612583333333,0.184221332408469,0.0582559004001756,0.131784002365516
"31","1",26,"Empiric",10,7.10837733333333,0.175330578323306,0.0554443970976194,0.125423940031408
"32","1",26,"Gamma",10,6.19099366666667,0.193571440209271,0.0612126641020397,0.13847266655239
"33","1",26,"Negexp",10,4.5393285,0.215254753097677,0.0680695296965844,0.153983974171434
"34","1",28,"Empiric",10,6.280592,0.307073947202451,0.0971053083258036,0.219667468774945
"35","1",28,"Gamma",10,5.53009816666667,0.239951839394227,0.0758794341232674,0.171651205411024
"36","1",28,"Negexp",10,4.06978883333333,0.147218340569478,0.0465545269549921,0.105313656611917
"37","1",30,"Empiric",10,5.71003783333333,0.211479763505289,0.0668757731710469,0.151283509296552
"38","1",30,"Gamma",10,5.01114416666667,0.18671321309591,0.0590439022631455,0.133566586424132
"39","1",30,"Negexp",10,3.68601283333333,0.114971939786639,0.0363573196733512,0.0822459711192154
"40","1",32,"Empiric",10,5.21856733333333,0.1620208732327,0.0512354987904739,0.115902750578409
"41","1",32,"Gamma",10,4.46881416666667,0.180258115795187,0.0570026212643164,0.128948887991347
"42","1",32,"Negexp",10,3.3380825,0.0860985543649519,0.027226753504108,0.061591195459059
"43","1",34,"Empiric",10,4.67716366666667,0.185307322823066,0.058599320722899,0.132560873108415
"44","1",34,"Gamma",10,4.06029616666667,0.2068031932244,0.0653969117985005,0.14793809244986
"45","1",34,"Negexp",10,3.0359755,0.131792945049595,0.0416765885898134,0.0942789933994404
"46","1",36,"Empiric",10,4.19845833333333,0.134940304389628,0.0426718710027641,0.0965304786389039
