"","Shape","Rate","EB","n","type","N","Crowdsourcing_completion_times.queue_queueingTime.mean","sd","se","ci"
"1","0.484071",0.497797,"1",6,"Simulation",10,30.7215621666667,2.80898894503064,0.888280298853034,2.00942964062292
"2","0.484071",0.497797,"1",8,"Simulation",10,20.6165135,1.712485970951,0.54153561292901,1.22503866569768
"3","0.484071",0.497797,"1",10,"Simulation",10,14.4534411666667,0.79394243906792,0.251066643852408,0.56795220673043
"4","0.484071",0.497797,"1",12,"Simulation",10,11.8874608333333,1.16227247573828,0.367542828505576,0.831439642139002
"5","0.484071",0.497797,"1",14,"Simulation",10,9.47064,0.466185416938421,0.147420772948065,0.333488957469713
"6","0.484071",0.497797,"1",16,"Simulation",10,7.7847685,0.330284171134691,0.104445025588646,0.236271062753998
"7","0.484071",0.497797,"1",18,"Simulation",10,6.691098,0.338920511559026,0.107176076227595,0.24244912851886
"8","0.484071",0.497797,"1",20,"Simulation",10,5.851527,0.268590824207831,0.0849358763118636,0.192138300977425
"9","0.484071",0.497797,"1",22,"Simulation",10,5.2726185,0.330733414363927,0.104587088771426,0.236592432000493
"10","0.484071",0.497797,"1",24,"Simulation",10,4.61626816666667,0.260157343663419,0.0822689755995577,0.18610535242861
"11","0.484071",0.497797,"1",26,"Simulation",10,4.0593055,0.185938840902603,0.0587990242743905,0.133012633927858
"12","0.484071",0.497797,"1",28,"Simulation",10,3.8102225,0.247417655449105,0.0782403324557943,0.176991928484588
"13","0.484071",0.497797,"1",30,"Simulation",10,3.42757916666667,0.117689346555867,0.0372166391453432,0.0841898868179143
"14","0.484071",0.497797,"1",32,"Simulation",10,3.045714,0.162185744957463,0.0512876358076753,0.116020692705318
"15","0.484071",0.497797,"1",34,"Simulation",10,2.85164283333333,0.175889135519673,0.0556210283920192,0.125823507779209
"16","0.484071",0.497797,"1",36,"Simulation",10,2.65604166666667,0.139124866523513,0.0439951457381211,0.0995239340598417
"17","0.484071",0.497797,"1",38,"Simulation",10,2.40871683333333,0.167345919414613,0.0529194262485169,0.119712059139254
"18","0.484071",0.497797,"1",40,"Simulation",10,2.2973615,0.177970376364272,0.0562791745348496,0.12731233779038
"19","0.484071",0.497797,"1",42,"Simulation",10,2.19424533333333,0.0932840372719421,0.0294990027115377,0.0667313802793087
"20","0.484071",0.497797,"1",44,"Simulation",10,2.09192233333333,0.141057466479113,0.044606287504685,0.100906432784559
"21","0.484071",0.497797,"1",46,"Simulation",10,1.85082816666667,0.106509868137988,0.0336813776600239,0.0761925697265346
"22","0.484071",0.497797,"1",48,"Simulation",10,1.733578,0.0941680271019395,0.0297785448406594,0.0673637485090051
