page.load.time,qoe,tdch
1.2,3.3214,4
1.3,3.277,4
1.4,3.2349,4
1.5,3.195,4
1.6,3.1569,4
1.7,3.1206,4
1.8,3.0858,4
1.9,3.0525,4
2,3.0205,4
2.1,2.9898,4
2.2,2.9601,4
2.3,2.9316,4
2.4,2.904,4
2.5,2.8774,4
2.6,2.8516,4
2.7,2.8266,4
2.8,2.8024,4
2.9,2.7788,4
3,2.756,4
3.1,2.7338,4
3.2,2.7122,4
3.3,2.6911,4
3.4,2.6706,4
3.5,2.6506,4
3.6,2.6311,4
3.7,2.6121,4
3.8,2.5935,4
3.9,2.5753,4
4,2.5576,4
4.1,2.5402,4
4.2,2.5232,4
4.3,2.5065,4
4.4,2.4902,4
4.5,2.4742,4
4.6,2.4585,4
4.7,2.4431,4
4.8,2.428,4
4.9,2.4132,4
5,2.3987,4
5.1,2.3844,4
5.2,2.3704,4
5.3,2.3566,4
5.4,2.343,4
5.5,2.3297,4
5.6,2.3166,4
5.7,2.3037,4
5.8,2.291,4
5.9,2.2785,4
6,2.2662,4
6.1,2.2541,4
6.2,2.2421,4
6.3,2.2304,4
6.4,2.2188,4
6.5,2.2074,4
6.6,2.1961,4
6.7,2.185,4
6.8,2.174,4
6.9,2.1632,4
7,2.1526,4
7.1,2.142,4
7.2,2.1316,4
7.3,2.1214,4
7.4,2.1113,4
7.5,2.1013,4
7.6,2.0914,4
7.7,2.0816,4
7.8,2.072,4
7.9,2.0625,4
8,2.0531,4
8.1,2.0438,4
8.2,2.0346,4
8.3,2.0255,4
8.4,2.0165,4
8.5,2.0076,4
8.6,1.9988,4
8.7,1.9901,4
8.8,1.9815,4
8.9,1.973,4
9,1.9646,4
9.1,1.9563,4
9.2,1.948,4
9.3,1.9399,4
9.4,1.9318,4
9.5,1.9238,4
9.6,1.9159,4
9.7,1.908,4
9.8,1.9003,4
9.9,1.8926,4
10,1.8849,4
10.1,1.8774,4
10.2,1.8699,4
10.3,1.8625,4
10.4,1.8552,4
10.5,1.8479,4
10.6,1.8407,4
10.7,1.8336,4
10.8,1.8265,4
10.9,1.8195,4
11,1.8125,4
11.1,1.8056,4
11.2,1.7988,4
11.3,1.792,4
11.4,1.7853,4
11.5,1.7786,4
11.6,1.772,4
11.7,1.7655,4
11.8,1.7589,4
11.9,1.7525,4
12,1.7461,4
12.1,1.7397,4
12.2,1.7335,4
12.3,1.7272,4
12.4,1.721,4
12.5,1.7148,4
12.6,1.7087,4
12.7,1.7027,4
12.8,1.6967,4
12.9,1.6907,4
13,1.6848,4
13.1,1.6789,4
13.2,1.6731,4
13.3,1.6673,4
13.4,1.6615,4
13.5,1.6558,4
13.6,1.6501,4
13.7,1.6445,4
13.8,1.6389,4
13.9,1.6333,4
14,1.6278,4
14.1,1.6223,4
14.2,1.6169,4
14.3,1.6115,4
14.4,1.6061,4
14.5,1.6008,4
14.6,1.5955,4
14.7,1.5902,4
14.8,1.585,4
14.9,1.5798,4
15,1.5747,4
15.1,1.5695,4
15.2,1.5644,4
15.3,1.5594,4
15.4,1.5543,4
15.5,1.5493,4
15.6,1.5444,4
15.7,1.5394,4
15.8,1.5345,4
15.9,1.5296,4
16,1.5248,4
16.1,1.52,4
16.2,1.5152,4
16.3,1.5104,4
16.4,1.5057,4
16.5,1.501,4
16.6,1.4963,4
16.7,1.4917,4
16.8,1.487,4
16.9,1.4824,4
17,1.4779,4
17.1,1.4733,4
17.2,1.4688,4
17.3,1.4643,4
17.4,1.4598,4
17.5,1.4554,4
17.6,1.451,4
17.7,1.4466,4
17.8,1.4422,4
17.9,1.4379,4
18,1.4335,4
18.1,1.4292,4
18.2,1.425,4
18.3,1.4207,4
18.4,1.4165,4
18.5,1.4123,4
18.6,1.4081,4
18.7,1.4039,4
18.8,1.3998,4
18.9,1.3956,4
19,1.3915,4
19.1,1.3875,4
19.2,1.3834,4
19.3,1.3794,4
19.4,1.3753,4
19.5,1.3713,4
19.6,1.3674,4
19.7,1.3634,4
19.8,1.3595,4
19.9,1.3555,4
20,1.3516,4
20.1,1.3478,4
20.2,1.3439,4
20.3,1.34,4
20.4,1.3362,4
20.5,1.3324,4
20.6,1.3286,4
20.7,1.3248,4
20.8,1.3211,4
20.9,1.3173,4
21,1.3136,4
21.1,1.3099,4
21.2,1.3062,4
21.3,1.3026,4
21.4,1.2989,4
21.5,1.2953,4
21.6,1.2917,4
21.7,1.2881,4
21.8,1.2845,4
21.9,1.2809,4
22,1.2773,4
22.1,1.2738,4
22.2,1.2703,4
22.3,1.2668,4
22.4,1.2633,4
22.5,1.2598,4
22.6,1.2563,4
22.7,1.2529,4
22.8,1.2495,4
22.9,1.246,4
23,1.2426,4
23.1,1.2392,4
23.2,1.2359,4
23.3,1.2325,4
23.4,1.2292,4
23.5,1.2258,4
23.6,1.2225,4
23.7,1.2192,4
23.8,1.2159,4
23.9,1.2126,4
24,1.2094,4
24.1,1.2061,4
24.2,1.2029,4
24.3,1.1997,4
24.4,1.1964,4
24.5,1.1932,4
24.6,1.1901,4
24.7,1.1869,4
24.8,1.1837,4
24.9,1.1806,4
25,1.1774,4
0.2,4.4488,8
0.3,4.2808,8
0.4,4.1421,8
0.5,4.0239,8
0.6,3.9209,8
0.7,3.8297,8
0.8,3.7479,8
0.9,3.6736,8
1,3.6057,8
1.1,3.543,8
1.2,3.4849,8
1.3,3.4308,8
1.4,3.3801,8
1.5,3.3324,8
1.6,3.2874,8
1.7,3.2448,8
1.8,3.2043,8
1.9,3.1658,8
2,3.1291,8
2.1,3.094,8
2.2,3.0603,8
2.3,3.028,8
2.4,2.997,8
2.5,2.9671,8
2.6,2.9383,8
2.7,2.9105,8
2.8,2.8837,8
2.9,2.8577,8
3,2.8325,8
3.1,2.8081,8
3.2,2.7844,8
3.3,2.7614,8
3.4,2.739,8
3.5,2.7173,8
3.6,2.6961,8
3.7,2.6755,8
3.8,2.6554,8
3.9,2.6358,8
4,2.6166,8
4.1,2.5979,8
4.2,2.5796,8
4.3,2.5618,8
4.4,2.5443,8
4.5,2.5272,8
