page.load.time,qoe,tdch
1.3,2.8443,4
1.4,2.8196,4
1.5,2.7955,4
1.6,2.7722,4
1.7,2.7496,4
1.8,2.7275,4
1.9,2.7061,4
2,2.6852,4
2.1,2.6648,4
2.2,2.645,4
2.3,2.6256,4
2.4,2.6067,4
2.5,2.5882,4
2.6,2.5702,4
2.7,2.5525,4
2.8,2.5352,4
2.9,2.5183,4
3,2.5018,4
3.1,2.4855,4
3.2,2.4696,4
3.3,2.4541,4
3.4,2.4388,4
3.5,2.4237,4
3.6,2.409,4
3.7,2.3946,4
3.8,2.3803,4
3.9,2.3664,4
4,2.3527,4
4.1,2.3392,4
4.2,2.3259,4
4.3,2.3129,4
4.4,2.3,4
4.5,2.2874,4
4.6,2.2749,4
4.7,2.2627,4
4.8,2.2506,4
4.9,2.2387,4
5,2.227,4
5.1,2.2155,4
5.2,2.2041,4
5.3,2.1929,4
5.4,2.1818,4
5.5,2.1709,4
5.6,2.1601,4
5.7,2.1495,4
5.8,2.139,4
5.9,2.1287,4
6,2.1185,4
6.1,2.1084,4
6.2,2.0984,4
6.3,2.0886,4
6.4,2.0789,4
6.5,2.0693,4
6.6,2.0598,4
6.7,2.0504,4
6.8,2.0411,4
6.9,2.032,4
7,2.0229,4
7.1,2.0139,4
7.2,2.0051,4
7.3,1.9963,4
7.4,1.9877,4
7.5,1.9791,4
7.6,1.9706,4
7.7,1.9622,4
7.8,1.9539,4
7.9,1.9457,4
8,1.9375,4
8.1,1.9295,4
8.2,1.9215,4
8.3,1.9136,4
8.4,1.9058,4
8.5,1.898,4
8.6,1.8904,4
8.7,1.8828,4
8.8,1.8753,4
8.9,1.8678,4
9,1.8604,4
9.1,1.8531,4
9.2,1.8458,4
9.3,1.8387,4
9.4,1.8315,4
9.5,1.8245,4
9.6,1.8175,4
9.7,1.8105,4
9.8,1.8037,4
9.9,1.7968,4
10,1.7901,4
10.1,1.7834,4
10.2,1.7767,4
10.3,1.7701,4
10.4,1.7636,4
10.5,1.7571,4
10.6,1.7507,4
10.7,1.7443,4
10.8,1.7379,4
10.9,1.7317,4
11,1.7254,4
11.1,1.7192,4
11.2,1.7131,4
11.3,1.707,4
11.4,1.701,4
11.5,1.695,4
11.6,1.689,4
11.7,1.6831,4
11.8,1.6772,4
11.9,1.6714,4
12,1.6656,4
12.1,1.6599,4
12.2,1.6542,4
12.3,1.6485,4
12.4,1.6429,4
12.5,1.6373,4
12.6,1.6317,4
12.7,1.6262,4
12.8,1.6208,4
12.9,1.6153,4
13,1.6099,4
13.1,1.6046,4
13.2,1.5993,4
13.3,1.594,4
13.4,1.5887,4
13.5,1.5835,4
13.6,1.5783,4
13.7,1.5732,4
13.8,1.5681,4
13.9,1.563,4
14,1.5579,4
14.1,1.5529,4
14.2,1.5479,4
14.3,1.5429,4
14.4,1.538,4
14.5,1.5331,4
14.6,1.5282,4
14.7,1.5234,4
14.8,1.5186,4
14.9,1.5138,4
15,1.5091,4
15.1,1.5043,4
15.2,1.4996,4
15.3,1.495,4
15.4,1.4903,4
15.5,1.4857,4
15.6,1.4811,4
15.7,1.4766,4
15.8,1.472,4
15.9,1.4675,4
16,1.463,4
16.1,1.4586,4
16.2,1.4541,4
16.3,1.4497,4
16.4,1.4453,4
16.5,1.441,4
16.6,1.4366,4
16.7,1.4323,4
16.8,1.428,4
16.9,1.4237,4
17,1.4195,4
17.1,1.4153,4
17.2,1.4111,4
17.3,1.4069,4
