"","size.threshold","mean.life.time","connected.count","disconnected.time","mechanism"
"1",1,84.783872616122,11,0.0022010139867317,"Immediate"
"2",1,142.84196097916,6,0.0012170781029518,"Immediate"
"3",1,75.9720504972,24,0.006558190696726,"Immediate"
"4",2,84.783872616122,11,0.0022010139867317,"Immediate"
"5",512,84.783872616122,11,0.0022010139867317,"Immediate"
"6",512,142.84196097916,6,0.0012170781029518,"Immediate"
"7",512,104.66851682959,8,0.0016990020191385,"Immediate"
"8",512,59.762633570002,19,0.0054848536858845,"Immediate"
"9",512,110.50801875498,15,0.0022881038931363,"Immediate"
"10",512,314.64471330064,2,0.0013996466208498,"Immediate"
"11",512,161.4254115001,6,0.0029745944363427,"Immediate"
"12",512,201.02332608185,4,0.00061122860135172,"Immediate"
"13",512,108.94493382037,14,0.0011301543482631,"Immediate"
"14",512,91.286084624941,17,0.0038632677640084,"Immediate"
"15",2,142.84196097916,6,0.0012170781029518,"Immediate"
"16",512,75.9720504972,24,0.006558190696726,"Immediate"
"17",512,244.40549539397,11,0.0018284832473202,"Immediate"
"18",512,219.90794712736,6,0.0020623408244019,"Immediate"
"19",512,82.511949901615,6,0.0019630476565015,"Immediate"
"20",512,89.511533703491,9,0.0012297653151892,"Immediate"
"21",512,163.19080698131,19,0.0028078139420343,"Immediate"
"22",512,151.73291506389,9,0.0042313095756492,"Immediate"
"23",512,165.11848598072,6,0.0019123206660796,"Immediate"
"24",512,83.749135195693,14,0.0040194775724961,"Immediate"
"25",512,63.661390308498,21,0.0033082496651893,"Immediate"
"26",2,104.66851682959,8,0.0016990020191385,"Immediate"
"27",512,102.27097144444,13,0.0017882551923622,"Immediate"
"28",512,157.96135433632,10,0.0026725686479719,"Immediate"
"29",512,59.257361291689,9,0.00393833553046,"Immediate"
"30",512,173.67270336381,8,0.0013380819262046,"Immediate"
"31",512,148.48619007045,14,0.0038284733836996,"Immediate"
"32",512,352.61015205506,7,0.0015446567526137,"Immediate"
"33",512,289.14665100816,16,0.0026359410170884,"Immediate"
"34",512,182.81612863143,2,0.0006162969351994,"Immediate"
"35",512,40.092369417065,19,0.0055669752750178,"Immediate"
"36",512,119.96927199994,5,0.0023974907912429,"Immediate"
