"","mechanism","parameter","connected.count","relative.disconnected.time","waiting.time"
"1","Intervall",1,19,0.0044880683805202,112.44817100568
"2","Intervall",1,9,0.0025061126790732,173.80886193666
"3","Intervall",1,5,0.0027416116073655,246.4866921015
"4","Intervall",1,6,0.0014883222983769,171.10181459657
"5","Intervall",1,7,0.0023879945716803,112.59161631003
"6","Intervall",1,5,0.0018608202289743,138.48005701878
"7","Intervall",1,14,0.0033080580593,82.512770821789
"8","Intervall",1,19,0.0035696057331651,91.643056551288
"9","Intervall",1,8,0.0019381996107044,127.79341942261
"10","Intervall",1,15,0.0034755428732616,111.03445208127
"11","Intervall",1,16,0.0034613522732034,97.894518369965
"12","Intervall",1,3,0.0021347104674531,262.78864330517
"13","Intervall",1,11,0.0025043952440898,160.36803032826
"14","Intervall",1,11,0.0015946673531281,184.22656590046
"15","Intervall",1,16,0.0034833046001082,73.160082190392
"16","Intervall",1,6,0.0016513564696631,80.021664305684
"17","Intervall",1,5,0.006112075486426,148.61081711799
"18","Intervall",1,11,0.0033821027518897,106.95615248098
"19","Intervall",1,6,0.0014723388751048,129.09102917599
"20","Intervall",1,8,0.0016950995658567,238.05601528837
"21","Intervall",1,12,0.0028242176647093,210.681308981
"22","Intervall",1,13,0.0052747852109025,61.760031034168
"23","Intervall",1,11,0.00263717297216,94.027512798876
"24","Intervall",1,2,0.00047542174581226,181.52137726651
"25","Intervall",1,13,0.0028040514225654,117.02401343502
"26","Intervall",1,4,0.0017482348617817,384.60958428053
"27","Intervall",1,11,0.0048073631320593,89.796174475903
"28","Intervall",1,17,0.002309878394223,95.581872942062
"29","Intervall",1,18,0.0051726051388597,117.51975287976
"30","Intervall",1,11,0.0051856353121055,294.4442496303
"31","Intervall",1,4,0.002316233536427,193.18135832179
"32","Intervall",1,6,0.0020641795392346,426.12045786558
"33","Intervall",1,7,0.0039657301643981,198.31105850575
"34","Intervall",1,8,0.0018594404805756,186.81703501612
"35","Intervall",1,13,0.0054072428855012,142.6736854798
"36","Intervall",1,15,0.0047888310112152,54.005056506643
"37","Intervall",1,22,0.0035037313938522,206.14013792756
"38","Intervall",1,13,0.0063414378127503,54.968079159131
"39","Intervall",1,16,0.0028063038231893,74.010828301474
"40","Intervall",1,9,0.0019704001929293,99.633473960942
"41","Intervall",1,11,0.005274470437478,162.74497025101
"42","Intervall",1,3,0.00080722698603555,538.09420450592
"43","Intervall",1,14,0.0052163762813011,88.663897649358
"44","Intervall",1,16,0.0054050159879259,86.138952678983
"45","Intervall",1,13,0.010255251450078,108.37113283309
"46","Intervall",1,14,0.0054266290109491,74.553804293149
"47","Intervall",1,2,0.0014540653278439,482.75882243798
"48","Intervall",1,20,0.0029910653017608,118.83822520073
"49","Intervall",1,23,0.004654033632694,50.256715864979
"50","Intervall",1,11,0.0039052697911632,113.40677544392
"51","Intervall",1,19,0.0067359897174516,95.782493762667
"52","Intervall",1,5,0.0026767192208109,491.96345128503
"53","Intervall",1,6,0.0013611544589079,164.08445219462
"54","Intervall",1,10,0.0023276665535209,156.2059107928
"55","Intervall",1,15,0.003730841898674,81.175637173954
"56","Intervall",1,7,0.0028787710614831,129.70937020327
"57","Intervall",1,6,0.0025062166631465,112.66230112348
"58","Intervall",1,15,0.0036888286752056,173.64205945367
"59","Intervall",1,15,0.0046942001585503,84.007472471914
"60","Intervall",1,9,0.0046921344742404,217.71998471697
"61","Intervall",1,15,0.0031198264269222,83.930626738315
"62","Intervall",1,10,0.0033465623724162,192.34385579789
"63","Intervall",1,17,0.0080205712674895,107.68157239105
"64","Intervall",1,13,0.0026616981440423,102.46556369501
"65","Intervall",1,21,0.0054507051516056,46.207904783822
"66","Intervall",1,14,0.0035342469855145,96.707417330798
"67","Intervall",1,14,0.002480372303228,144.48715525357
"68","Intervall",1,8,0.00081923324663485,92.403556930031
"69","Intervall",1,20,0.0041863977765534,54.221275827345
"70","Intervall",1,14,0.0028066891148177,121.48977309178
"71","Intervall",1,10,0.0020960746338674,86.422131933188
"72","Intervall",1,19,0.0039242046684135,97.50923571839
"73","Intervall",1,33,0.0095412705571138,77.847584949767
"74","Intervall",1,2,0.00043480783706868,437.41730300622
"75","Intervall",1,13,0.0088304635352536,195.67338212127
"76","Intervall",1,22,0.0064773478417523,78.978661931035
"77","Intervall",1,10,0.0023544246551078,87.179319206157
"78","Intervall",1,11,0.0022074839262394,138.81269482748
"79","Intervall",1,8,0.001356343012983,163.74953095854
"80","Intervall",1,21,0.0074905850919537,227.21471438204
"81","Intervall",1,15,0.0046785492602179,113.67794739404
"82","Intervall",1,18,0.0065154101082421,78.133942007186
"83","Intervall",1,11,0.0026803834392955,246.8144619267
"84","Intervall",1,13,0.0045951984424087,73.215850731741
"85","Intervall",1,14,0.0033940700081264,82.354984149859
"86","Intervall",1,15,0.0032214566475902,125.36209267287
"87","Intervall",1,18,0.0044832736956552,101.60324199825
"88","Intervall",1,19,0.0047549503187199,52.69720320374
"89","Intervall",1,18,0.0048775270612603,124.45725502336
"90","Intervall",1,15,0.0044649109904651,81.930090006812
"91","Intervall",1,7,0.0073273298701624,96.206549213799
"92","Intervall",1,3,0.0020335991875534,282.52228236126
"93","Intervall",1,7,0.0034482753265734,78.59345963451
"94","Intervall",1,29,0.0062306692479897,53.462369391508
"95","Intervall",1,14,0.0032525341304572,117.94423566247
