"","video.demand","stalling.frequency"
"1",0,1.45
"2",0.1,1.32867869734993
"3",0.2,1.22086093458676
"4",0.3,1.12504371441738
"5",0.4,1.03989132908035
"6",0.5,0.964216740360613
"7",0.6,0.896965032082148
"8",0.7,0.837198704403486
"9",0.8,0.784084604916188
"10",0.9,0.736882314363645
"11",1,0.694933825075233
"12",1.1,0.657654368231474
"13",1.2,0.624524262090809
"14",1.3,0.595081667540897
"15",1.4,0.568916149985657
"16",1.5,0.545662957819696
"17",1.6,0.524997937731118
"18",1.7,0.506633015951197
"19",1.8,0.490312182458805
"20",1.9,0.475807922158736
"21",2,0.46291804328397
"22",2.1,0.451462858809284
"23",2.2,0.441282681584659
"24",2.3,0.432235598270217
"25",2.4,0.424195491040997
"26",2.5,0.417050279483791
"27",2.6,0.410700358177806
"28",2.7,0.405057208178763
"29",2.8,0.400042163050302
"30",2.9,0.395585312240954
"31",3,0.391624526519595
"32",3.1,0.38810459188377
"33",3.2,0.384976439867451
"34",3.3,0.38219646351857
"35",3.4,0.379725909510958
"36",3.5,0.377530337916621
"37",3.6,0.375579142107502
"38",3.7,0.373845122094059
"39",3.8,0.372304105352958
"40",3.9,0.370934609858128
"41",4,0.369717544617799
"42",4.1,0.368635943542944
"43",4.2,0.367674728937217
"44",4.3,0.366820501311392
"45",4.4,0.366061352592287
"46",4.5,0.365386700122271
"47",4.6,0.364787139135281
"48",4.7,0.364254311652841
"49",4.8,0.363780789972472
"50",4.9,0.363359973124301
"51",5,0.362985994852458
