"","type","variable","image.size"
"228","Measurement","size",5398484
"229","Measurement","size",6508295
"230","Measurement","size",6572711
"231","Measurement","size",6618066
"232","Measurement","size",6591361
"233","Measurement","size",7543355
"234","Measurement","size",6891098
"235","Measurement","size",6568989
"236","Measurement","size",7761953
"237","Measurement","size",5868909
"238","Measurement","size",5317067
"239","Measurement","size",5577517
"240","Measurement","size",6435466
"241","Measurement","size",6119203
"242","Measurement","size",6628680
"243","Measurement","size",6309207
"244","Measurement","size",6311151
"245","Measurement","size",5645143
"246","Measurement","size",5036554
"247","Measurement","size",6537735
"248","Measurement","size",5922320
"249","Measurement","size",4530073
"250","Measurement","size",4547219
"251","Measurement","size",4853883
"252","Measurement","size",4809025
"253","Measurement","size",4785634
"254","Measurement","size",4448824
"255","Measurement","size",4354335
"256","Measurement","size",4087737
"257","Measurement","size",4173129
"258","Measurement","size",4560647
"259","Measurement","size",4537294
"260","Measurement","size",5214426
"261","Measurement","size",5191688
"262","Measurement","size",4588649
"263","Measurement","size",5513329
"264","Measurement","size",5749867
"265","Measurement","size",6486064
"266","Measurement","size",7428987
"267","Measurement","size",6767119
"268","Measurement","size",6110454
"269","Measurement","size",8604554
"270","Measurement","size",4707892
"271","Measurement","size",4274800
"272","Measurement","size",4662523
"273","Measurement","size",9808597
"274","Measurement","size",9347404
"275","Measurement","size",8977191
"276","Measurement","size",9279819
"277","Measurement","size",7868845
"278","Measurement","size",13251384
"279","Measurement","size",4383498
"280","Measurement","size",4934061
"281","Measurement","size",6897443
"282","Measurement","size",8980378
"283","Measurement","size",10145274
"284","Measurement","size",10358790
"285","Measurement","size",9353600
"286","Measurement","size",9579968
"287","Measurement","size",10214690
"288","Measurement","size",9907007
"289","Measurement","size",8974798
"290","Measurement","size",7509957
"291","Measurement","size",10116944
"292","Measurement","size",5233632
"293","Measurement","size",5397431
"294","Measurement","size",5600219
"295","Measurement","size",8901857
"296","Measurement","size",9013199
"297","Measurement","size",6206860
"298","Measurement","size",9024060
"299","Measurement","size",7769915
"300","Measurement","size",5950348
"301","Measurement","size",8510103
"302","Measurement","size",6125006
"303","Measurement","size",8488996
"304","Measurement","size",7532785
"305","Measurement","size",6902032
"306","Measurement","size",7998730
"307","Measurement","size",8170137
"308","Measurement","size",7916946
"309","Measurement","size",8476936
"310","Measurement","size",9700730
"311","Measurement","size",7784434
"312","Measurement","size",5234619
"313","Measurement","size",5483970
"314","Measurement","size",5272577
"315","Measurement","size",7857803
"316","Measurement","size",7504538
"317","Measurement","size",8176932
"318","Measurement","size",7326610
"319","Measurement","size",8118122
