"","res.util.mean","res.util.min","res.util.max","max.tunnels","block.prob.mean","block.prob.max","block.prob.min","max.instances","startstop.duration","total.tunnels","relative.blocking.probability","relative.blocking.probability.max","relative.blocking.probability.min"
"5%490",3763.625443498,3739.069895509,3786.132927721,"4500",0.0184827485989286,0.0225995207422711,0.0108324310555475,"1",0,4500,1,1.22273592703529,0.586083341315125
"5%604",3745.408667128,3723.049163608,3764.792560645,"150",0.0231574857997262,0.0301299110316921,0.0164447921667785,"30",300,4500,1.25292435136345,1.63016398077495,0.889737372055787
"5%619",3726.841926368,3706.11197541,3749.5085811545,"75",0.027087206337715,0.0340648567536965,0.0221982612918754,"60",300,4500,1.46553994351712,1.84306227893351,1.20102598231316
